country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,"Tamil Nadu",Chennai,"Kodungaiyur, Chennai - TNPCB","29-07-2026 14:00:00",13.1278,80.2642,OZONE,30,35,32
India,"Tamil Nadu",Chennai,"Perungudi, Chennai - TNPCB","29-07-2026 14:00:00",12.9533,80.2357,PM2.5,7,406,39
India,"Tamil Nadu",Chennai,"Perungudi, Chennai - TNPCB","29-07-2026 14:00:00",12.9533,80.2357,NO2,6,14,8
India,"Tamil Nadu",Chennai,"Perungudi, Chennai - TNPCB","29-07-2026 14:00:00",12.9533,80.2357,OZONE,0,6,2
India,"Tamil Nadu",Coimbatore,"SIDCO Kurichi, Coimbatore - TNPCB","29-07-2026 14:00:00",10.942451,76.978996,SO2,24,27,25
India,"Tamil Nadu",Cuddalore,"Semmandalam, Cuddalore - TNPCB","29-07-2026 14:00:00",11.7637683,79.7499835,NH3,6,6,6
India,"Tamil Nadu",Cuddalore,"Kudikadu, Cuddalore - TNPCB","29-07-2026 14:00:00",11.6829898,79.7532099,CO,NA,NA,NA
India,"Tamil Nadu",Madurai,"Uchapatti, Madurai - TNPCB","29-07-2026 14:00:00",9.865935,78.022669,CO,13,13,13
India,"Tamil Nadu",Thoothukudi,"Meelavittan, Thoothukudi - TNPCB","29-07-2026 14:00:00",8.816428,78.099039,NO2,14,20,16
India,"Tamil Nadu",Thoothukudi,"Meelavittan, Thoothukudi - TNPCB","29-07-2026 14:00:00",8.816428,78.099039,SO2,4,17,11
India,Telangana,Hyderabad,"Kokapet, Hyderabad - TSPCB","29-07-2026 14:00:00",17.393559,78.339194,PM2.5,34,47,38
India,Telangana,Hyderabad,"ECIL Kapra, Hyderabad - TSPCB","29-07-2026 14:00:00",17.470431,78.566959,SO2,NA,NA,NA
India,Rajasthan,Jaipur,"Adarsh Nagar, Jaipur - RSPCB","29-07-2026 14:00:00",26.902909,75.836858,NH3,9,14,10
India,Rajasthan,Jaisalmer,"Sadar Bazar, Jaisalmer - RSPCB","29-07-2026 14:00:00",26.912329,70.909168,NH3,NA,NA,NA
India,Rajasthan,Jhunjhunu,"Indra Nagar, Jhunjhunu - RSPCB","29-07-2026 14:00:00",28.108988,75.386577,PM2.5,5,42,20
India,Rajasthan,Jhunjhunu,"Indra Nagar, Jhunjhunu - RSPCB","29-07-2026 14:00:00",28.108988,75.386577,OZONE,59,111,82
India,Rajasthan,Jodhpur,"Mandor, Jodhpur - RSPCB","29-07-2026 14:00:00",26.358805,73.047444,PM2.5,28,60,45
India,Rajasthan,Jodhpur,"Mandor, Jodhpur - RSPCB","29-07-2026 14:00:00",26.358805,73.047444,NO2,2,19,8
India,Rajasthan,Jodhpur,"Mandor, Jodhpur - RSPCB","29-07-2026 14:00:00",26.358805,73.047444,NH3,3,20,6
India,Rajasthan,Jodhpur,"Mandor, Jodhpur - RSPCB","29-07-2026 14:00:00",26.358805,73.047444,SO2,2,5,2
India,Rajasthan,Jodhpur,"Digari Kalan, Jodhpur - RSPCB","29-07-2026 14:00:00",26.29581,73.082283,PM2.5,25,58,37
India,Rajasthan,Jodhpur,"Digari Kalan, Jodhpur - RSPCB","29-07-2026 14:00:00",26.29581,73.082283,CO,10,15,13
India,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB","29-07-2026 14:00:00",26.268249,73.0193853,PM2.5,52,78,63
India,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB","29-07-2026 14:00:00",26.268249,73.0193853,SO2,1,12,6
